title,authors,gutenberg_id,sitelinks,missing_language,language_marc,speakers_millions,opportunity_score
Ulysses,James Joyce,4300,83,Javanese,jav,68.3,44.991
Great Expectations,Charles Dickens,1400,69,Telugu,tel,82.0,44.905
The Jungle Book,,236,69,Telugu,tel,82.0,44.905
David Copperfield,Charles Dickens,766,68,Marathi,mar,83.1,44.848
The Picture of Dorian Gray,Oscar Wilde,4078,82,Urdu,urd,68.6,44.644
A Christmas Carol,Charles Dickens,46,75,Tamil,tam,75.0,44.643
Dracula,Bram Stoker,345,75,Tamil,tam,75.0,44.643
The Picture of Dorian Gray,Oscar Wilde,4078,82,Javanese,jav,68.3,44.449
David Copperfield,Charles Dickens,766,68,Turkish,tur,82.2,44.362
The Merchant of Venice,William Shakespeare,2243,68,Telugu,tel,82.0,44.254
David Copperfield,Charles Dickens,766,68,Telugu,tel,82.0,44.254
Book of Mormon,Joseph Smith; Mormon,17,126,Hausa,hau,43.9,43.9
Robinson Crusoe,Daniel Defoe,12623,98,Gujarati,guj,56.4,43.867
Book of Mormon,Joseph Smith; Mormon,17,126,Kannada,kan,43.6,43.6
A Tale of Two Cities,Charles Dickens,98,65,Marathi,mar,83.1,42.869
A Tale of Two Cities,Charles Dickens,98,65,Turkish,tur,82.2,42.405
Great Expectations,Charles Dickens,1400,69,Korean,kor,77.3,42.331
The Jungle Book,,236,69,Korean,kor,77.3,42.331
A Tale of Two Cities,Charles Dickens,98,65,Telugu,tel,82.0,42.302
A Journey to the Centre of the Earth,Jules Verne,18857,64,Marathi,mar,83.1,42.21
Great Expectations,Charles Dickens,1400,69,Malay,may,77.0,42.167
The Jungle Book,,236,69,Malay,may,77.0,42.167
A Journey to the Centre of the Earth,Jules Verne,18857,64,Turkish,tur,82.2,41.752
The Merchant of Venice,William Shakespeare,2243,68,Korean,kor,77.3,41.717
David Copperfield,Charles Dickens,766,68,Korean,kor,77.3,41.717
A Journey to the Centre of the Earth,Jules Verne,18857,64,Telugu,tel,82.0,41.651
Great Expectations,Charles Dickens,1400,69,Vietnamese,vie,76.0,41.619
The Jungle Book,,236,69,Vietnamese,vie,76.0,41.619
The Merchant of Venice,William Shakespeare,2243,68,Malay,may,77.0,41.556
David Copperfield,Charles Dickens,766,68,Malay,may,77.0,41.556
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Marathi,mar,83.1,41.55
United States Bill of Rights,,2,63,Marathi,mar,83.1,41.55
The Adventures of Tom Sawyer,Mark Twain,74,76,Javanese,jav,68.3,41.197
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Turkish,tur,82.2,41.1
United States Bill of Rights,,2,63,Turkish,tur,82.2,41.1
Great Expectations,Charles Dickens,1400,69,Tamil,tam,75.0,41.071
The Jungle Book,,236,69,Tamil,tam,75.0,41.071
The Merchant of Venice,William Shakespeare,2243,68,Vietnamese,vie,76.0,41.016
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Telugu,tel,82.0,41.0
United States Bill of Rights,,2,63,Telugu,tel,82.0,41.0
A Christmas Carol,Charles Dickens,46,75,Urdu,urd,68.6,40.833
Dracula,Bram Stoker,345,75,Urdu,urd,68.6,40.833
A Christmas Carol,Charles Dickens,46,75,Javanese,jav,68.3,40.655
Dracula,Bram Stoker,345,75,Javanese,jav,68.3,40.655
The Merchant of Venice,William Shakespeare,2243,68,Tamil,tam,75.0,40.476
David Copperfield,Charles Dickens,766,68,Tamil,tam,75.0,40.476
A Study in Scarlet,Arthur Conan Doyle,244,61,Marathi,mar,83.1,40.231
Through the Looking-Glass,Lewis Carroll,12,61,Marathi,mar,83.1,40.231
A Tale of Two Cities,Charles Dickens,98,65,Korean,kor,77.3,39.877
A Study in Scarlet,Arthur Conan Doyle,244,61,Turkish,tur,82.2,39.795
A Tale of Two Cities,Charles Dickens,98,65,Malay,may,77.0,39.722
Book of Mormon,Joseph Smith; Mormon,17,126,Polish,pol,39.7,39.7
A Study in Scarlet,Arthur Conan Doyle,244,61,Telugu,tel,82.0,39.698
Through the Looking-Glass,Lewis Carroll,12,61,Telugu,tel,82.0,39.698
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Marathi,mar,83.1,39.571
A Journey to the Centre of the Earth,Jules Verne,18857,64,Korean,kor,77.3,39.263
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Turkish,tur,82.2,39.143
A Journey to the Centre of the Earth,Jules Verne,18857,64,Malay,may,77.0,39.111
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Telugu,tel,82.0,39.048
Book of Mormon,Joseph Smith; Mormon,17,126,Pashto,pus,39.0,39.0
Critique of Pure Reason,Immanuel Kant,4280,59,Marathi,mar,83.1,38.912
Leviathan,Thomas Hobbes,3207,59,Marathi,mar,83.1,38.912
A Journey to the Centre of the Earth,Jules Verne,18857,64,German,ger,76.5,38.857
A Tale of Two Cities,Charles Dickens,98,65,Tamil,tam,75.0,38.69
United States Bill of Rights,,2,63,Korean,kor,77.3,38.65
A Journey to the Centre of the Earth,Jules Verne,18857,64,Vietnamese,vie,76.0,38.603
United States Bill of Rights,,2,63,Malay,may,77.0,38.5
Critique of Pure Reason,Immanuel Kant,4280,59,Turkish,tur,82.2,38.49
Leviathan,Thomas Hobbes,3207,59,Turkish,tur,82.2,38.49
Critique of Pure Reason,Immanuel Kant,4280,59,Telugu,tel,82.0,38.397
Leviathan,Thomas Hobbes,3207,59,Telugu,tel,82.0,38.397
United States Bill of Rights,,2,63,German,ger,76.5,38.25
A Journey to the Centre of the Earth,Jules Verne,18857,64,Tamil,tam,75.0,38.095
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Vietnamese,vie,76.0,38.0
United States Bill of Rights,,2,63,Vietnamese,vie,76.0,38.0
Book of Mormon,Joseph Smith; Mormon,17,126,Yoruba,yor,37.8,37.8
The Great Gatsby,F. Scott Fitzgerald,64317,84,Gujarati,guj,56.4,37.6
Great Expectations,Charles Dickens,1400,69,Urdu,urd,68.6,37.567
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Tamil,tam,75.0,37.5
United States Bill of Rights,,2,63,Tamil,tam,75.0,37.5
A Study in Scarlet,Arthur Conan Doyle,244,61,Korean,kor,77.3,37.423
Great Expectations,Charles Dickens,1400,69,Javanese,jav,68.3,37.402
The Jungle Book,,236,69,Javanese,jav,68.3,37.402
A Study in Scarlet,Arthur Conan Doyle,244,61,Malay,may,77.0,37.278
Through the Looking-Glass,Lewis Carroll,12,61,Malay,may,77.0,37.278
Oliver Twist,Charles Dickens,56586,83,Gujarati,guj,56.4,37.152
Ulysses,James Joyce,4300,83,Gujarati,guj,56.4,37.152
Book of Mormon,Joseph Smith; Mormon,17,126,Malayalam,mal,37.1,37.1
The Merchant of Venice,William Shakespeare,2243,68,Urdu,urd,68.6,37.022
David Copperfield,Charles Dickens,766,68,Urdu,urd,68.6,37.022
Sense and Sensibility,Jane Austen,161,56,Marathi,mar,83.1,36.933
The Merchant of Venice,William Shakespeare,2243,68,Javanese,jav,68.3,36.86
David Copperfield,Charles Dickens,766,68,Javanese,jav,68.3,36.86
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Korean,kor,77.3,36.81
A Study in Scarlet,Arthur Conan Doyle,244,61,Vietnamese,vie,76.0,36.794
Through the Looking-Glass,Lewis Carroll,12,61,Vietnamese,vie,76.0,36.794
The Picture of Dorian Gray,Oscar Wilde,4078,82,Gujarati,guj,56.4,36.705
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Malay,may,77.0,36.667
Sense and Sensibility,Jane Austen,161,56,Turkish,tur,82.2,36.533
Sense and Sensibility,Jane Austen,161,56,Telugu,tel,82.0,36.444
A Study in Scarlet,Arthur Conan Doyle,244,61,Tamil,tam,75.0,36.31
Through the Looking-Glass,Lewis Carroll,12,61,Tamil,tam,75.0,36.31
Critique of Pure Reason,Immanuel Kant,4280,59,Korean,kor,77.3,36.196
Leviathan,Thomas Hobbes,3207,59,Korean,kor,77.3,36.196
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Vietnamese,vie,76.0,36.19
Critique of Pure Reason,Immanuel Kant,4280,59,Malay,may,77.0,36.056
Leviathan,Thomas Hobbes,3207,59,Malay,may,77.0,36.056
Critique of Pure Reason,Immanuel Kant,4280,59,German,ger,76.5,35.821
Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,43,60,Tamil,tam,75.0,35.714
Critique of Pure Reason,Immanuel Kant,4280,59,Vietnamese,vie,76.0,35.587
Leviathan,Thomas Hobbes,3207,59,Vietnamese,vie,76.0,35.587
A Tale of Two Cities,Charles Dickens,98,65,Urdu,urd,68.6,35.389
Pride and Prejudice,Jane Austen,1342,99,Persian,per,45.0,35.357
A Tale of Two Cities,Charles Dickens,98,65,Javanese,jav,68.3,35.234
Critique of Pure Reason,Immanuel Kant,4280,59,Tamil,tam,75.0,35.119
Leviathan,Thomas Hobbes,3207,59,Tamil,tam,75.0,35.119
The Call of the Wild,Jack London,215,53,Marathi,mar,83.1,34.955
A Journey to the Centre of the Earth,Jules Verne,18857,64,Urdu,urd,68.6,34.844
A Journey to the Centre of the Earth,Jules Verne,18857,64,Javanese,jav,68.3,34.692
The Call of the Wild,Jack London,215,53,Turkish,tur,82.2,34.576
Book of Mormon,Joseph Smith; Mormon,17,126,Odia,ori,34.5,34.5
Pride and Prejudice,Jane Austen,1342,99,Hausa,hau,43.9,34.493
The Call of the Wild,Jack London,215,53,Telugu,tel,82.0,34.492
The Hound of the Baskervilles,Arthur Conan Doyle,3070,63,Urdu,urd,68.6,34.3
United States Bill of Rights,,2,63,Urdu,urd,68.6,34.3
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1661,52,Marathi,mar,83.1,34.295
The Last of the Mohicans,James Fenimore Cooper,940,52,Marathi,mar,83.1,34.295
Little Women,Louisa May Alcott,514,52,Marathi,mar,83.1,34.295
Pride and Prejudice,Jane Austen,1342,99,Kannada,kan,43.6,34.257
Sense and Sensibility,Jane Austen,161,56,Malay,may,77.0,34.222
